,sample,masked_medial_cells,mig_speed_um_per_min
153,10930fat2_04,Yes,0.11749366806420200
154,10930fat2_05,No,0.05718680015084420
155,10930fat2_06,Yes,0.07560391857654910
156,10930fat2_08,Yes,0.6907857891897000
157,10930fat2_09,No,0.08128182315924510
158,10930fat2_10,Yes,0.17379235063256200
159,10930fat2_11,No,0.15092490662937700
160,10930fat2_12,Yes,0.4741284069648740
161,10930fat2_13,Yes,0.48107898422613900
162,10930fat2_14,Yes,0.35698711570831600
163,10930fat2_15,No,0.027210030598427600
164,10930fat2_17,Yes,0.36412092560269000
165,10930fat2_18,No,0.10540136797354900
166,10930fat2_19,Yes,0.16256415603580300
167,10930fat2_20,No,0.09286875823673650
168,10930fat2_21,Yes,0.10597545152435600
169,10930fat2_22,Yes,0.21792451584279900
170,10930fat2_23,Yes,0.15337460050897800
171,10930fat2_24,Yes,0.11573838168597500
172,10930fat2_25,Yes,0.3519975042588520
173,10930fat2_26,Yes,0.14222781523190000
174,10930fat2_27,Yes,0.52114285585439
175,10930fat2_28,No,0.20497600182274700
176,10930fat2_29,Yes,0.04073327273201510
177,10930fat2_30,No,0.04405983594556310
178,10930fat2_31,Yes,0.43938448929103400
179,10930fat2_32,Yes,0.2997441594318300
180,10930fat2_33,Yes,0.29375944258766800
181,10930fat2_34,No,0.031434668316346200
182,10930fat2_35,Yes,0.29541341890321800
183,10930fat2_36,Yes,0.36339571298468000
184,10930fat2_37,Yes,0.3063379921979410
185,10930fat2_38,No,0.0965613574483255
186,10930fat2_39,Yes,0.24923623647426100
187,10930fat2_40,No,0.03565301468942890
188,10930fat2_41,Yes,0.18775381519623800
189,10930fat2_42,Yes,0.503207267953616
190,10930fat2_43,Yes,0.40824692792353100
191,10930fat2_44,No,0.28522761041488300
192,10930fat2_45,No,0.09800789491695630
193,10930fat2_46,Yes,0.10305073071042400
194,10930fat2_47,Yes,0.22715517069264200
195,10930fat2_48,Yes,0.1691567602480640
196,10930fat2_49,Yes,0.43649908110638200
197,10930fat2_50,Yes,0.33905031319255900
198,10930fat2_51,No,0.07287213774847290
199,10930fat2_52,Yes,0.39814836265073000
200,10930fat2_53,Yes,0.13023575712979900
201,10930fat2_55,Yes,0.7906686879470190
202,10930fat2_56,Yes,0.155982248215535
203,10930fat2_57,Yes,0.21929829442902600
204,10930fat2_58,Yes,0.40500302989288100
205,10930fat2_59,Yes,0.34207379515854100
206,10930fat2_60,No,0.08378229529948370
207,10930fat2_61,Yes,0.6986097866069040
208,10930fat2_62,No,0.09629024138578910
209,10930fat2_63,Yes,0.2589656791690550
210,10930fat2_64,No,0.04624322261998920
211,10930fat2_65,Yes,0.3851884956799950
212,10930fat2_66,No,0.036082412950123300
213,10930fat2_67,Yes,0.22508381107901900
214,10930fat2_68,Yes,0.3003630554311960
215,tjfat2_01,Yes,0.054360466216402200
216,tjfat2_02,No,0.13860978396845500
217,tjfat2_03,Yes,0.10670764888885800
218,tjfat2_04,Yes,0.1496950191399230
219,tjfat2_05,Yes,0.14923697283632400
220,tjfat2_06,Yes,0.11427447036378300
221,tjfat2_07,Yes,0.12359794905278400
222,tjfat2_08,Yes,0.061287932314111800
223,tjfat2_09,Yes,0.019242706977995600
224,tjfat2_10,No,0.046083672886023100
225,tjfat2_11,Yes,0.012471089154212600
226,tjfat2_12,Yes,0.04532604231039190
227,tjfat2_13,No,0.06638776515489020
228,tjfat2_14,Yes,0.024119823504882100
229,tjfat2_15,Yes,0.06450016595516540
230,tjfat2_16,No,0.06297447001578650
231,tjfat2_17,Yes,0.04209661215216150
232,tjfat2_18,Yes,0.028487499332237100
233,tjfat2_19,Yes,0.019379778135178000
234,tjfat2_20,No,0.09943588420960350
235,tjfat2_21,Yes,0.03672977219065510
236,tjfat2_22,Yes,0.03606074503850500
237,tjfat2_24,Yes,0.08402239334250650
238,tjfat2_25,Yes,0.07576705335873630
239,tjfat2_26,Yes,0.1431801428110690
240,tjfat2_27,Yes,0.06423132304677170
241,tjfat2_28,No,0.31749309085186400
242,tjfat2_29,Yes,0.018623779664106700
243,tjfat2_30,Yes,0.06698204795518070
244,tjfat2_31,Yes,0.07636754379992370
245,tjfat2_32,Yes,0.08095423306915830
246,tjfat2_33,Yes,0.02147953945001760
247,tjfat2_34,Yes,0.05018973995176670
248,tjfat2_35,Yes,0.020230257748388700
249,tjfat2_36,Yes,0.034784856766663900
250,tjfat2_37,Yes,0.07517174522516940
251,tjfat2_38,Yes,0.065357494492961
252,tjfat2_39,Yes,0.06706835524300460
253,tjfat2_40,Yes,0.02250342723763350
254,tjfat2_41,Yes,0.09747694117140720
255,tjfat2_42,Yes,0.036124156457763600
256,tjfat2_43,No,0.04542071881507020
257,tjfat2_44,No,0.08097398769125760
258,tjfat2_45,Yes,0.0223462964714057
259,tjfat2_46,Yes,0.12152743718218000
260,tjfat2_48,Yes,0.1359336583740650
261,tjfat2_49,Yes,0.014317922859384200
262,tjfat2_50,Yes,0.025758293970139700
263,tjfat2_51,Yes,0.164663363698892
264,tjfat2_52,Yes,0.043581435661720100
265,tjfat2_53,No,0.03432665863729910
266,tjfat2_54,Yes,0.056813348069216700
267,tjfat2_55,Yes,0.11152439284218400
268,tjfat2_56,Yes,0.07260551398086350
269,tjfat2_57,Yes,0.0792387792687707
