,cell,centroid_row,centroid_col,frame,t(sec),t(min)
4,5,313.1776193428390,559.866398016119,2,40,0.666666666666667
5,6,315.11122807017500,458.38491228070200,2,40,0.666666666666667
6,7,319.329988851728,399.9014492753620,2,40,0.666666666666667
7,8,319.8314069350340,278.6058190514150,2,40,0.666666666666667
8,9,317.7462326702830,333.47076552139800,2,40,0.666666666666667
9,10,334.9664780148020,228.46887244231600,2,40,0.666666666666667
10,11,345.9766355140190,604.1813933729820,2,40,0.666666666666667
11,12,343.5014712063890,498.68011769651100,2,40,0.666666666666667
12,13,356.13527851458900,368.5191360363770,2,40,0.666666666666667
13,14,352.9743377483440,310.31829470198700,2,40,0.666666666666667
14,15,369.1466074313410,544.0888529886910,2,40,0.666666666666667
15,16,369.64740566037700,461.5813679245280,2,40,0.666666666666667
16,17,381.0405101275320,631.3795948987250,2,40,0.666666666666667
