,cell,centroid_row,centroid_col,frame
127,128,547.5278318411833,384.90813546126896,0
128,129,545.3727990285367,865.7459016393443,0
129,130,561.185303514377,697.3444670345629,0
130,131,551.9374117647059,483.60564705882354,0
131,132,558.1985018726592,174.1692883895131,0
132,133,559.3224773091298,335.950880939669,0
133,134,565.8968044561713,799.116388155966,0
134,135,581.7211593104755,73.861526804319,0
135,136,565.5324144971925,441.06074527820317,0
136,137,571.702320887992,273.02320887991925,0
137,138,577.3410185822436,628.0705437026841,0
138,139,572.0721649484536,533.6892488954345,0
139,140,581.6523961661342,899.1929712460064,0
140,141,590.8113834648941,134.03531366846698,0
141,142,586.5,400.6929411764706,0
142,143,590.9948036951502,308.6166281755196,0
143,144,583.0305343511451,741.8503816793893,0
144,145,601.2238754325259,858.3588235294118,0
